occupation_title,median_annual_wage_2018,typical_entry_level_education,education_code,work_experience,typical_on_the_job_training
Accountants and auditors    ,70500,Bachelors degree,3,None,None
Actors    ,,Some college no degree,6,None,Long-term on-the-job training
Actuaries    ,102880,Bachelors degree,3,None,Long-term on-the-job training
Adhesive bonding machine operators and tenders    ,33820,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Administrative law judges,99850,Doctoral or professional degree,1,5 years or more,Short-term on-the-job training
Administrative services managers    ,96180,Bachelors degree,3,Less than 5 years,None
Adult basic and secondary education and literacy teachers and instructors    ,53630,Bachelors degree,3,None,None
Advertising and promotions managers    ,117130,Bachelors degree,3,Less than 5 years,None
Advertising sales agents    ,51740,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Aerospace engineering and operations technicians    ,67010,Associates degree,4,None,None
Aerospace engineers    ,115220,Bachelors degree,3,None,None
Agents and business managers of artists,66040,Bachelors degree,3,Less than 5 years,None
Agricultural and food science technicians    ,40860,Associates degree,4,None,Moderate-term on-the-job training
Agricultural engineers    ,77110,Bachelors degree,3,None,None
Agricultural equipment operators    ,31190,No formal educational credential,8,None,Moderate-term on-the-job training
Agricultural inspectors    ,44140,Bachelors degree,3,None,Moderate-term on-the-job training
Agricultural sciences teachers,84640,Doctoral or professional degree,1,None,None
Agricultural workers,29480,No formal educational credential,8,None,Short-term on-the-job training
Air traffic controllers    ,124540,Associates degree,4,None,Long-term on-the-job training
Aircraft cargo handling supervisors    ,48610,High school diploma or equivalent,7,Less than 5 years,None
Aircraft mechanics and service technicians    ,62920,Postsecondary nondegree award,5,None,None
Aircraft structure,53340,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Airfield operations specialists    ,52200,High school diploma or equivalent,7,None,Long-term on-the-job training
Airline pilots,140340,Bachelors degree,3,Less than 5 years,Moderate-term on-the-job training
Ambulance drivers and attendants,25750,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Amusement and recreation attendants    ,22260,No formal educational credential,8,None,Short-term on-the-job training
Anesthesiologists    ,>=208000,Doctoral or professional degree,1,None,Internship/residency
Animal breeders    ,37060,High school diploma or equivalent,7,None,Short-term on-the-job training
Animal control workers    ,36330,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Animal scientists    ,58380,Bachelors degree,3,None,None
Animal trainers    ,29290,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Anthropologists and archeologists    ,62410,Masters degree,2,None,None
Anthropology and archeology teachers,83940,Doctoral or professional degree,1,None,None
Appraisers and assessors of real estate    ,54980,Bachelors degree,3,None,Long-term on-the-job training
Arbitrators,62270,Bachelors degree,3,Less than 5 years,Moderate-term on-the-job training
Architects,79380,Bachelors degree,3,None,Internship/residency
Architectural and civil drafters    ,54920,Associates degree,4,None,None
Architectural and engineering managers    ,140760,Bachelors degree,3,5 years or more,None
Architecture teachers,86980,Doctoral or professional degree,1,None,None
Archivists    ,52240,Masters degree,2,None,None
Area,74440,Doctoral or professional degree,1,None,None
Art directors    ,92780,Bachelors degree,3,5 years or more,None
Art,69960,Masters degree,2,None,None
Artists and related workers,65390,No formal educational credential,8,None,Long-term on-the-job training
Assemblers and fabricators,31540,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Astronomers    ,105680,Doctoral or professional degree,1,None,None
Athletes and sports competitors    ,50650,No formal educational credential,8,None,Long-term on-the-job training
Athletic trainers    ,47510,Bachelors degree,3,None,None
Atmospheric and space scientists    ,94110,Bachelors degree,3,None,None
Atmospheric,90860,Doctoral or professional degree,1,None,None
Audio and video equipment technicians    ,43770,Postsecondary nondegree award,5,None,Short-term on-the-job training
Audio-visual and multimedia collections specialists    ,49600,Bachelors degree,3,Less than 5 years,None
Audiologists    ,75920,Doctoral or professional degree,1,None,None
Automotive and watercraft service attendants    ,24200,No formal educational credential,8,None,Short-term on-the-job training
Automotive body and related repairers    ,42730,High school diploma or equivalent,7,None,Long-term on-the-job training
Automotive glass installers and repairers    ,34170,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Automotive service technicians and mechanics    ,40710,Postsecondary nondegree award,5,None,Short-term on-the-job training
Avionics technicians    ,64140,Associates degree,4,None,None
Baggage porters and bellhops    ,24210,High school diploma or equivalent,7,None,Short-term on-the-job training
Bailiffs    ,45760,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Bakers    ,26520,No formal educational credential,8,None,Long-term on-the-job training
Barbers    ,27960,Postsecondary nondegree award,5,None,None
Bartenders    ,22550,No formal educational credential,8,None,Short-term on-the-job training
Bicycle repairers    ,28960,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Bill and account collectors    ,36020,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Billing and posting clerks    ,37800,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Biochemists and biophysicists    ,93280,Doctoral or professional degree,1,None,None
Biological science teachers,82550,Doctoral or professional degree,1,None,None
Biological scientists,79590,Bachelors degree,3,None,None
Biological technicians    ,44500,Bachelors degree,3,None,None
Biomedical engineers    ,88550,Bachelors degree,3,None,None
Boilermakers    ,62150,High school diploma or equivalent,7,None,Apprenticeship
Bookkeeping,40240,Some college no degree,6,None,Moderate-term on-the-job training
Brickmasons and blockmasons    ,50950,High school diploma or equivalent,7,None,Apprenticeship
Bridge and lock tenders    ,50320,High school diploma or equivalent,7,None,Short-term on-the-job training
Broadcast news analysts    ,66880,Bachelors degree,3,None,None
Broadcast technicians    ,40080,Associates degree,4,None,Short-term on-the-job training
Brokerage clerks    ,51400,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Budget analysts    ,76220,Bachelors degree,3,None,None
Building cleaning workers,29260,No formal educational credential,8,None,Short-term on-the-job training
Bus and truck mechanics and diesel engine specialists    ,47350,High school diploma or equivalent,7,None,Long-term on-the-job training
Bus drivers,32420,High school diploma or equivalent,7,None,Short-term on-the-job training
Bus drivers,42080,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Business operations specialists,70530,Bachelors degree,3,None,None
Business teachers,83960,Doctoral or professional degree,1,None,None
Butchers and meat cutters    ,31580,No formal educational credential,8,None,Long-term on-the-job training
Buyers and purchasing agents,62750,Bachelors degree,3,None,Moderate-term on-the-job training
Cabinetmakers and bench carpenters    ,34740,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Camera and photographic equipment repairers    ,40620,High school diploma or equivalent,7,None,Long-term on-the-job training
Camera operators,54570,Bachelors degree,3,None,None
Captains,69180,Postsecondary nondegree award,5,Less than 5 years,None
Cardiovascular technologists and technicians    ,56850,Associates degree,4,None,None
Career/technical education teachers,59230,Bachelors degree,3,Less than 5 years,None
Career/technical education teachers,60250,Bachelors degree,3,Less than 5 years,None
Cargo and freight agents    ,43210,High school diploma or equivalent,7,None,Short-term on-the-job training
Carpenters    ,46590,High school diploma or equivalent,7,None,Apprenticeship
Carpet installers    ,39340,No formal educational credential,8,None,Short-term on-the-job training
Cartographers and photogrammetrists    ,64430,Bachelors degree,3,None,None
Cashiers    ,22430,No formal educational credential,8,None,Short-term on-the-job training
Cement masons and concrete finishers    ,43000,No formal educational credential,8,None,Moderate-term on-the-job training
Chefs and head cooks    ,48460,High school diploma or equivalent,7,5 years or more,None
Chemical engineers    ,104910,Bachelors degree,3,None,None
Chemical equipment operators and tenders    ,48770,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Chemical plant and system operators    ,62060,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Chemical technicians    ,48160,Associates degree,4,None,Moderate-term on-the-job training
Chemistry teachers,79550,Doctoral or professional degree,1,None,None
Chemists    ,76890,Bachelors degree,3,None,None
Chief executives    ,189600,Bachelors degree,3,5 years or more,None
Child,46270,Bachelors degree,3,None,None
Childcare workers    ,23240,High school diploma or equivalent,7,None,Short-term on-the-job training
Chiropractors    ,71410,Doctoral or professional degree,1,None,None
Choreographers    ,47800,High school diploma or equivalent,7,5 years or more,Long-term on-the-job training
Civil engineering technicians    ,52580,Associates degree,4,None,None
Civil engineers    ,86640,Bachelors degree,3,None,None
Claims adjusters,65900,High school diploma or equivalent,7,None,Long-term on-the-job training
Cleaners of vehicles and equipment    ,24530,No formal educational credential,8,None,Short-term on-the-job training
Cleaning,30790,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Clergy    ,48990,Bachelors degree,3,None,Moderate-term on-the-job training
Clinical laboratory technologists and technicians,52330,Bachelors degree,3,None,None
Clinical,76990,Doctoral or professional degree,1,None,Internship/residency
Coaches and scouts    ,33780,Bachelors degree,3,None,None
Coating,34800,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Coil winders,34400,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Coin,34560,High school diploma or equivalent,7,None,Short-term on-the-job training
Combined food preparation and serving workers,21250,No formal educational credential,8,None,Short-term on-the-job training
Commercial and industrial designers    ,66590,Bachelors degree,3,None,None
Commercial divers    ,49140,Postsecondary nondegree award,5,None,Moderate-term on-the-job training
Commercial pilots    ,82240,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Communications equipment operators,41050,High school diploma or equivalent,7,None,Short-term on-the-job training
Communications teachers,68910,Doctoral or professional degree,1,None,None
Community and social service specialists,42620,Bachelors degree,3,None,None
Community health workers    ,39540,High school diploma or equivalent,7,None,Short-term on-the-job training
Compensation and benefits managers    ,121010,Bachelors degree,3,5 years or more,None
Compensation,63000,Bachelors degree,3,Less than 5 years,None
Compliance officers    ,68860,Bachelors degree,3,None,Moderate-term on-the-job training
Computer and information research scientists    ,118370,Masters degree,2,None,None
Computer and information systems managers    ,142530,Bachelors degree,3,5 years or more,None
Computer hardware engineers    ,114600,Bachelors degree,3,None,None
Computer network architects    ,109020,Bachelors degree,3,5 years or more,None
Computer network support specialists    ,62770,Associates degree,4,None,None
Computer numerically controlled machine tool programmers,53190,Postsecondary nondegree award,5,None,Moderate-term on-the-job training
Computer occupations,90270,Bachelors degree,3,None,None
Computer operators    ,45840,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Computer programmers    ,84280,Bachelors degree,3,None,None
Computer science teachers,82220,Doctoral or professional degree,1,None,None
Computer systems analysts    ,88740,Bachelors degree,3,None,None
Computer user support specialists    ,50980,Some college no degree,6,None,None
Computer,38480,Some college no degree,6,None,Short-term on-the-job training
Computer-controlled machine tool operators,40070,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Concierges    ,30400,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Conservation scientists    ,61310,Bachelors degree,3,None,None
Construction and building inspectors    ,59700,High school diploma or equivalent,7,5 years or more,Moderate-term on-the-job training
Construction laborers    ,35800,No formal educational credential,8,None,Short-term on-the-job training
Construction managers    ,93370,Bachelors degree,3,None,Moderate-term on-the-job training
Continuous mining machine operators    ,54520,No formal educational credential,8,None,Moderate-term on-the-job training
Control and valve installers and repairers,56070,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Conveyor operators and tenders    ,32980,No formal educational credential,8,None,Short-term on-the-job training
Cooks,28650,No formal educational credential,8,None,Moderate-term on-the-job training
Cooks,22330,No formal educational credential,8,None,Short-term on-the-job training
Cooks,26860,No formal educational credential,8,None,Short-term on-the-job training
Cooks,37590,Postsecondary nondegree award,5,Less than 5 years,None
Cooks,26530,No formal educational credential,8,Less than 5 years,Moderate-term on-the-job training
Cooks,23800,No formal educational credential,8,None,Short-term on-the-job training
Cooling and freezing equipment operators and tenders    ,32410,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Correctional officers and jailers    ,44330,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Correspondence clerks    ,37290,High school diploma or equivalent,7,None,Short-term on-the-job training
Cost estimators    ,64040,Bachelors degree,3,None,Moderate-term on-the-job training
Costume attendants    ,41190,High school diploma or equivalent,7,None,Short-term on-the-job training
Counselors,42130,Masters degree,2,None,None
Counter and rental clerks    ,27290,No formal educational credential,8,None,Short-term on-the-job training
Counter attendants,22330,No formal educational credential,8,None,Short-term on-the-job training
Couriers and messengers    ,28720,High school diploma or equivalent,7,None,Short-term on-the-job training
Court reporters    ,57150,Postsecondary nondegree award,5,None,Short-term on-the-job training
Court,38450,High school diploma or equivalent,7,None,Long-term on-the-job training
Craft artists    ,34240,No formal educational credential,8,None,Long-term on-the-job training
Crane and tower operators    ,54140,High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Credit analysts    ,71520,Bachelors degree,3,None,None
Credit authorizers,38750,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Credit counselors    ,45180,Bachelors degree,3,None,Moderate-term on-the-job training
Criminal justice and law enforcement teachers,61900,Doctoral or professional degree,1,None,None
Crossing guards    ,28960,No formal educational credential,8,None,Short-term on-the-job training
Crushing,36400,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Curators    ,53780,Masters degree,2,None,None
Customer service representatives    ,33750,High school diploma or equivalent,7,None,Short-term on-the-job training
Cutters and trimmers,29390,No formal educational credential,8,None,Short-term on-the-job training
Cutting and slicing machine setters,34620,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Cutting,34460,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Dancers    ,,No formal educational credential,8,None,Long-term on-the-job training
Data entry keyers    ,32170,High school diploma or equivalent,7,None,Short-term on-the-job training
Database administrators    ,90070,Bachelors degree,3,None,None
Demonstrators and product promoters    ,28960,No formal educational credential,8,None,Short-term on-the-job training
Dental assistants    ,38660,Postsecondary nondegree award,5,None,None
Dental hygienists    ,74820,Associates degree,4,None,None
Dental laboratory technicians    ,40440,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Dentists,146970,Doctoral or professional degree,1,None,Internship/residency
Dentists,151850,Doctoral or professional degree,1,None,None
Derrick operators,46120,No formal educational credential,8,None,Short-term on-the-job training
Designers,60570,Bachelors degree,3,None,None
Desktop publishers    ,42910,Associates degree,4,None,Short-term on-the-job training
Detectives and criminal investigators    ,81920,High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Diagnostic medical sonographers    ,72510,Associates degree,4,None,None
Dietetic technicians    ,27140,Associates degree,4,None,None
Dietitians and nutritionists    ,60370,Bachelors degree,3,None,Internship/residency
Dining room and cafeteria attendants and bartender helpers    ,22270,No formal educational credential,8,None,Short-term on-the-job training
Directors,40810,Bachelors degree,3,Less than 5 years,None
Dishwashers    ,22730,No formal educational credential,8,None,Short-term on-the-job training
Dispatchers,39470,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Door-to-door sales workers,26430,No formal educational credential,8,None,Short-term on-the-job training
Drafters,51850,Associates degree,4,None,None
Dredge operators    ,45260,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Drilling and boring machine tool setters,38020,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Driver/sales workers    ,24700,High school diploma or equivalent,7,None,Short-term on-the-job training
Drywall and ceiling tile installers    ,43730,No formal educational credential,8,None,Moderate-term on-the-job training
Earth drillers,44430,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Economics teachers,101480,Doctoral or professional degree,1,None,None
Economists    ,104340,Masters degree,2,None,None
Editors    ,59480,Bachelors degree,3,Less than 5 years,None
Education administrators,82850,Bachelors degree,3,Less than 5 years,None
Education administrators,95310,Masters degree,2,5 years or more,None
Education administrators,94340,Masters degree,2,Less than 5 years,None
Education administrators,47940,Bachelors degree,3,Less than 5 years,None
Education teachers,64780,Doctoral or professional degree,1,Less than 5 years,None
Education,42080,Bachelors degree,3,None,None
Educational,56310,Masters degree,2,None,None
Electric motor,42840,High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Electrical and electronics drafters    ,60070,Associates degree,4,None,None
Electrical and electronics engineering technicians    ,64330,Associates degree,4,None,None
Electrical and electronics installers and repairers,60340,Postsecondary nondegree award,5,None,Long-term on-the-job training
Electrical and electronics repairers,58110,Postsecondary nondegree award,5,None,Long-term on-the-job training
Electrical and electronics repairers,80200,Postsecondary nondegree award,5,Less than 5 years,Moderate-term on-the-job training
Electrical engineers    ,96640,Bachelors degree,3,None,None
Electrical power-line installers and repairers    ,70910,High school diploma or equivalent,7,None,Long-term on-the-job training
Electrical,33660,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Electricians    ,55190,High school diploma or equivalent,7,None,Apprenticeship
Electro-mechanical technicians    ,57790,Associates degree,4,None,None
Electronic equipment installers and repairers,35590,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Electronic home entertainment equipment installers and repairers    ,38160,Postsecondary nondegree award,5,None,Short-term on-the-job training
Electronics engineers,102700,Bachelors degree,3,None,None
Elementary school teachers,58230,Bachelors degree,3,None,None
Elevator installers and repairers    ,79780,High school diploma or equivalent,7,None,Apprenticeship
Eligibility interviewers,46020,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Embalmers    ,44250,Associates degree,4,None,Long-term on-the-job training
Emergency management directors    ,74420,Bachelors degree,3,5 years or more,None
Emergency medical technicians and paramedics    ,34320,Postsecondary nondegree award,5,None,None
Engine and other machine assemblers    ,44380,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Engineering teachers,101720,Doctoral or professional degree,1,None,None
Engineering technicians,63200,Associates degree,4,None,None
Engineers,96980,Bachelors degree,3,None,None
English language and literature teachers,66590,Doctoral or professional degree,1,None,None
Entertainers and performers,,No formal educational credential,8,None,Short-term on-the-job training
Entertainment attendants and related workers,24290,High school diploma or equivalent,7,None,Short-term on-the-job training
Environmental engineering technicians    ,50560,Associates degree,4,None,None
Environmental engineers    ,87620,Bachelors degree,3,None,None
Environmental science and protection technicians,46170,Associates degree,4,None,None
Environmental science teachers,79910,Doctoral or professional degree,1,None,None
Environmental scientists and specialists,71130,Bachelors degree,3,None,None
Epidemiologists    ,69660,Masters degree,2,None,None
Etchers and engravers    ,31330,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Excavating and loading machine and dragline operators    ,44270,High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Executive secretaries and executive administrative assistants    ,59340,High school diploma or equivalent,7,Less than 5 years,None
Exercise physiologists    ,49270,Bachelors degree,3,None,None
Explosives workers,49860,High school diploma or equivalent,7,Less than 5 years,Long-term on-the-job training
Extraction workers,54840,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Extruding and drawing machine setters,35150,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Extruding and forming machine setters,34200,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Extruding,35120,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Fabric and apparel patternmakers    ,40560,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Fabric menders,30730,High school diploma or equivalent,7,None,Long-term on-the-job training
Fallers    ,44080,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Family and general practitioners    ,201100,Doctoral or professional degree,1,None,Internship/residency
Farm and home management advisors    ,49840,Masters degree,2,None,None
Farm equipment mechanics and service technicians    ,40630,High school diploma or equivalent,7,None,Long-term on-the-job training
Farm labor contractors    ,46150,No formal educational credential,8,Less than 5 years,Short-term on-the-job training
Farmers,67950,High school diploma or equivalent,7,5 years or more,None
Farmworkers and laborers,24320,No formal educational credential,8,None,Short-term on-the-job training
