occupation_title,median_annual_wage_2018,typical_entry_level_education,education_code,work_experience,typical_on_the_job_training
Occupational health and safety technicians    ,50780,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Occupational therapists    ,84270,Masters degree,2,None,None
Occupational therapy aides    ,28160,High school diploma or equivalent,7,None,Short-term on-the-job training
Occupational therapy assistants    ,60220,Associates degree,4,None,None
Office and administrative support workers,34850,High school diploma or equivalent,7,None,Short-term on-the-job training
Office clerks,32730,High school diploma or equivalent,7,None,Short-term on-the-job training
Office machine operators,32790,High school diploma or equivalent,7,None,Short-term on-the-job training
Operating engineers and other construction equipment operators    ,47810,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Operations research analysts    ,83390,Bachelors degree,3,None,None
Ophthalmic laboratory technicians    ,31830,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Ophthalmic medical technicians    ,36530,Postsecondary nondegree award,5,None,None
Opticians,37010,High school diploma or equivalent,7,None,Long-term on-the-job training
Optometrists    ,111790,Doctoral or professional degree,1,None,None
Oral and maxillofacial surgeons    ,>=208000,Doctoral or professional degree,1,None,Internship/residency
Order clerks    ,33460,Some college no degree,6,None,Short-term on-the-job training
Orderlies    ,28060,High school diploma or equivalent,7,None,Short-term on-the-job training
Orthodontists    ,>=208000,Doctoral or professional degree,1,None,Internship/residency
Orthotists and prosthetists    ,69120,Masters degree,2,None,Internship/residency
Outdoor power equipment and other small engine mechanics    ,35400,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Packaging and filling machine operators and tenders    ,30160,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Packers and packagers,24580,No formal educational credential,8,None,Short-term on-the-job training
Painters,38940,No formal educational credential,8,None,Moderate-term on-the-job training
Painters,42280,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Painting,31050,No formal educational credential,8,None,Moderate-term on-the-job training
Paper goods machine setters,38730,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Paperhangers    ,38090,No formal educational credential,8,None,Long-term on-the-job training
Paralegals and legal assistants    ,50940,Associates degree,4,None,None
Parking enforcement workers    ,39840,High school diploma or equivalent,7,None,Short-term on-the-job training
Parking lot attendants    ,23870,No formal educational credential,8,None,Short-term on-the-job training
Parts salespersons    ,30430,No formal educational credential,8,None,Moderate-term on-the-job training
Patternmakers,45840,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Patternmakers,60940,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Paving,39780,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Payroll and timekeeping clerks    ,45050,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Pediatricians,170560,Doctoral or professional degree,1,None,Internship/residency
Personal care aides    ,24020,High school diploma or equivalent,7,None,Short-term on-the-job training
Personal care and service workers,26180,High school diploma or equivalent,7,None,Short-term on-the-job training
Personal financial advisors    ,88890,Bachelors degree,3,None,Long-term on-the-job training
Pest control workers    ,35610,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Pesticide handlers,35320,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Petroleum engineers    ,137170,Bachelors degree,3,None,None
Petroleum pump system operators,70860,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Pharmacists    ,126120,Doctoral or professional degree,1,None,None
Pharmacy aides    ,26450,High school diploma or equivalent,7,None,Short-term on-the-job training
Pharmacy technicians    ,32700,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Philosophy and religion teachers,71890,Doctoral or professional degree,1,None,None
Phlebotomists    ,34480,Postsecondary nondegree award,5,None,None
Photographers    ,34000,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Photographic process workers and processing machine operators    ,29180,High school diploma or equivalent,7,None,Short-term on-the-job training
Physical scientists,107230,Bachelors degree,3,None,None
Physical therapist aides    ,26240,High school diploma or equivalent,7,None,Short-term on-the-job training
Physical therapist assistants    ,58040,Associates degree,4,None,None
Physical therapists    ,87930,Doctoral or professional degree,1,None,None
Physician assistants    ,108610,Masters degree,2,None,None
Physicians and surgeons,200890,Doctoral or professional degree,1,None,Internship/residency
Physicists    ,120950,Doctoral or professional degree,1,None,None
Physics teachers,90800,Doctoral or professional degree,1,None,None
Pile-driver operators    ,58680,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Pipelayers    ,38560,No formal educational credential,8,None,Short-term on-the-job training
Plant and system operators,57100,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Plasterers and stucco masons    ,43540,No formal educational credential,8,None,Long-term on-the-job training
Plating and coating machine setters,32420,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Plumbers,53910,High school diploma or equivalent,7,None,Apprenticeship
Podiatrists    ,129550,Doctoral or professional degree,1,None,Internship/residency
Police and sheriffs patrol officers    ,61380,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Police,40660,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Political science teachers,83370,Doctoral or professional degree,1,None,None
Political scientists    ,117570,Masters degree,2,None,None
Postal service clerks    ,55280,High school diploma or equivalent,7,None,Short-term on-the-job training
Postal service mail carriers    ,55210,High school diploma or equivalent,7,None,Short-term on-the-job training
Postal service mail sorters,58770,High school diploma or equivalent,7,None,Short-term on-the-job training
Postmasters and mail superintendents    ,75970,High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Postsecondary teachers,65660,Doctoral or professional degree,1,None,None
Pourers and casters,37730,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Power distributors and dispatchers    ,86410,High school diploma or equivalent,7,None,Long-term on-the-job training
Power plant operators    ,79610,High school diploma or equivalent,7,None,Long-term on-the-job training
Precision instrument and equipment repairers,57610,High school diploma or equivalent,7,None,Long-term on-the-job training
Prepress technicians and workers    ,40410,Postsecondary nondegree award,5,None,None
Preschool teachers,29780,Associates degree,4,None,None
Pressers,23350,No formal educational credential,8,None,Short-term on-the-job training
Print binding and finishing workers    ,32890,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Printing press operators    ,36220,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Private detectives and investigators    ,50090,High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Probation officers and correctional treatment specialists    ,53020,Bachelors degree,3,None,Short-term on-the-job training
Procurement clerks    ,42670,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Producers and directors    ,71680,Bachelors degree,3,Less than 5 years,None
Production workers,30170,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Production,47580,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Proofreaders and copy markers    ,39140,Bachelors degree,3,None,None
Property,58340,High school diploma or equivalent,7,Less than 5 years,None
Prosthodontists    ,176540,Doctoral or professional degree,1,None,Internship/residency
Protective service workers,30720,High school diploma or equivalent,7,None,Short-term on-the-job training
Psychiatric aides    ,29180,High school diploma or equivalent,7,None,Short-term on-the-job training
Psychiatric technicians    ,32870,Postsecondary nondegree award,5,Less than 5 years,Short-term on-the-job training
Psychiatrists    ,>=208000,Doctoral or professional degree,1,None,Internship/residency
Psychologists,100770,Masters degree,2,None,Internship/residency
Psychology teachers,76710,Doctoral or professional degree,1,None,None
Public address system and other announcers    ,27720,High school diploma or equivalent,7,None,Short-term on-the-job training
Public relations and fundraising managers    ,114800,Bachelors degree,3,5 years or more,None
Public relations specialists    ,60000,Bachelors degree,3,None,None
Pump operators,44380,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Purchasing managers    ,118940,Bachelors degree,3,5 years or more,None
Radiation therapists    ,82330,Associates degree,4,None,None
Radio and television announcers    ,33220,Bachelors degree,3,None,None
Radio operators    ,42220,High school diploma or equivalent,7,None,Short-term on-the-job training
Radio,54890,Associates degree,4,None,Moderate-term on-the-job training
Radiologic technologists    ,59520,Associates degree,4,None,None
Rail car repairers    ,56220,High school diploma or equivalent,7,None,Long-term on-the-job training
Rail transportation workers,55410,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Rail yard engineers,52630,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Rail-track laying and maintenance equipment operators    ,56930,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Railroad brake,57260,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Railroad conductors and yardmasters    ,62930,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Real estate brokers    ,58210,High school diploma or equivalent,7,Less than 5 years,None
Real estate sales agents    ,48690,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Receptionists and information clerks    ,29140,High school diploma or equivalent,7,None,Short-term on-the-job training
Recreation and fitness studies teachers,62620,Doctoral or professional degree,1,None,None
Recreation workers    ,25060,High school diploma or equivalent,7,None,Short-term on-the-job training
Recreational therapists    ,47860,Bachelors degree,3,None,None
Recreational vehicle service technicians    ,38160,High school diploma or equivalent,7,None,Long-term on-the-job training
Refractory materials repairers,52190,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Refuse and recyclable material collectors    ,37260,No formal educational credential,8,None,Short-term on-the-job training
Registered nurses    ,71730,Bachelors degree,3,None,None
Rehabilitation counselors    ,35630,Masters degree,2,None,None
Reinforcing iron and rebar workers    ,48320,High school diploma or equivalent,7,None,Apprenticeship
Religious workers,29820,Bachelors degree,3,None,None
Reporters and correspondents    ,41260,Bachelors degree,3,None,None
Reservation and transportation ticket agents and travel clerks    ,37220,High school diploma or equivalent,7,None,Short-term on-the-job training
Residential advisors    ,27860,High school diploma or equivalent,7,None,Short-term on-the-job training
Respiratory therapists    ,60280,Associates degree,4,None,None
Respiratory therapy technicians    ,51210,Associates degree,4,None,None
Retail salespersons    ,24200,No formal educational credential,8,None,Short-term on-the-job training
Riggers    ,50370,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Rock splitters,34750,No formal educational credential,8,None,Short-term on-the-job training
Rolling machine setters,38650,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Roof bolters,58650,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Roofers    ,39970,No formal educational credential,8,None,Moderate-term on-the-job training
Rotary drill operators,53800,No formal educational credential,8,None,Moderate-term on-the-job training
Roustabouts,37580,No formal educational credential,8,None,Moderate-term on-the-job training
Sailors and marine oilers    ,40900,No formal educational credential,8,None,Moderate-term on-the-job training
Sales and related workers,33220,High school diploma or equivalent,7,None,None
Sales engineers    ,101420,Bachelors degree,3,None,Moderate-term on-the-job training
Sales managers    ,124220,Bachelors degree,3,Less than 5 years,None
Sales representatives,54550,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Sales representatives,58510,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Sales representatives,79680,Bachelors degree,3,None,Moderate-term on-the-job training
Sawing machine setters,29500,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Secondary school teachers,60320,Bachelors degree,3,None,None
Secretaries and administrative assistants,36630,High school diploma or equivalent,7,None,Short-term on-the-job training
Securities,64120,Bachelors degree,3,None,Moderate-term on-the-job training
Security and fire alarm systems installers    ,47190,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Security guards    ,28490,High school diploma or equivalent,7,None,Short-term on-the-job training
Self-enrichment education teachers    ,38720,High school diploma or equivalent,7,Less than 5 years,None
Semiconductor processors    ,37270,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Separating,40810,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Septic tank servicers and sewer pipe cleaners    ,38970,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Service unit operators,47860,No formal educational credential,8,None,Moderate-term on-the-job training
Set and exhibit designers    ,54270,Bachelors degree,3,None,None
Sewers,28650,No formal educational credential,8,None,Moderate-term on-the-job training
Sewing machine operators    ,25030,No formal educational credential,8,None,Short-term on-the-job training
Shampooers    ,21640,No formal educational credential,8,None,Short-term on-the-job training
Sheet metal workers    ,48460,High school diploma or equivalent,7,None,Apprenticeship
Ship engineers    ,71130,Postsecondary nondegree award,5,Less than 5 years,None
Shipping,33030,High school diploma or equivalent,7,None,Short-term on-the-job training
Shoe and leather workers and repairers    ,28840,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Shoe machine operators and tenders    ,30430,High school diploma or equivalent,7,None,Short-term on-the-job training
Signal and track switch repairers    ,70490,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Skincare specialists    ,31290,Postsecondary nondegree award,5,None,None
Slaughterers and meat packers    ,28260,No formal educational credential,8,None,Short-term on-the-job training
Social and community service managers    ,65320,Bachelors degree,3,Less than 5 years,None
Social and human service assistants    ,33750,High school diploma or equivalent,7,None,Short-term on-the-job training
Social science research assistants    ,46640,Bachelors degree,3,None,None
Social sciences teachers,71600,Doctoral or professional degree,1,None,None
Social scientists and related workers,81340,Bachelors degree,3,None,None
Social work teachers,68300,Doctoral or professional degree,1,None,None
Social workers,63140,Bachelors degree,3,None,None
Sociologists    ,82050,Masters degree,2,None,None
Sociology teachers,74140,Doctoral or professional degree,1,None,None
Software developers,103620,Bachelors degree,3,None,None
Software developers,110000,Bachelors degree,3,None,None
Soil and plant scientists    ,63950,Bachelors degree,3,None,None
Solar photovoltaic installers    ,42680,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Sound engineering technicians    ,52390,Postsecondary nondegree award,5,None,Short-term on-the-job training
Special education teachers,56680,Bachelors degree,3,None,None
Special education teachers,59390,Bachelors degree,3,None,None
Special education teachers,60250,Bachelors degree,3,None,None
Special education teachers,55840,Bachelors degree,3,None,None
Special education teachers,60600,Bachelors degree,3,None,None
Speech-language pathologists    ,77510,Masters degree,2,None,Internship/residency
Stationary engineers and boiler operators    ,60440,High school diploma or equivalent,7,None,Long-term on-the-job training
Statistical assistants    ,48330,Bachelors degree,3,None,None
Statisticians    ,87780,Masters degree,2,None,None
Stock clerks and order fillers    ,25700,High school diploma or equivalent,7,None,Short-term on-the-job training
Stonemasons    ,41220,High school diploma or equivalent,7,None,Apprenticeship
Structural iron and steel workers    ,53970,High school diploma or equivalent,7,None,Apprenticeship
Structural metal fabricators and fitters    ,39290,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Substance abuse,44630,Bachelors degree,3,None,None
Substitute teachers,28680,Bachelors degree,3,None,None
Subway and streetcar operators    ,68170,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Surgeons    ,>=208000,Doctoral or professional degree,1,None,Internship/residency
Surgical technologists    ,47300,Postsecondary nondegree award,5,None,None
Survey researchers    ,57700,Masters degree,2,None,None
Surveying and mapping technicians    ,44380,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Surveyors    ,62580,Bachelors degree,3,None,Internship/residency
Switchboard operators,29420,High school diploma or equivalent,7,None,Short-term on-the-job training
Tailors,31000,No formal educational credential,8,None,Moderate-term on-the-job training
Tank car,38220,No formal educational credential,8,None,Short-term on-the-job training
Tapers    ,55080,No formal educational credential,8,None,Moderate-term on-the-job training
Tax examiners and collectors,54440,Bachelors degree,3,None,Moderate-term on-the-job training
Tax preparers    ,39390,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Taxi drivers and chauffeurs    ,25980,No formal educational credential,8,None,Short-term on-the-job training
Teacher assistants    ,26970,Some college no degree,6,None,None
Teachers and instructors,39540,Bachelors degree,3,None,None
Technical writers    ,71850,Bachelors degree,3,Less than 5 years,Short-term on-the-job training
Telecommunications equipment installers and repairers,56100,Postsecondary nondegree award,5,None,Moderate-term on-the-job training
Telecommunications line installers and repairers    ,58280,High school diploma or equivalent,7,None,Long-term on-the-job training
Telemarketers    ,25250,No formal educational credential,8,None,Short-term on-the-job training
Telephone operators    ,37240,High school diploma or equivalent,7,None,Short-term on-the-job training
Tellers    ,29450,High school diploma or equivalent,7,None,Short-term on-the-job training
Terrazzo workers and finishers    ,42500,High school diploma or equivalent,7,None,Apprenticeship
Textile bleaching and dyeing machine operators and tenders    ,28780,High school diploma or equivalent,7,None,Short-term on-the-job training
Textile cutting machine setters,28220,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Textile knitting and weaving machine setters,29160,High school diploma or equivalent,7,None,Short-term on-the-job training
Textile winding,28920,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Textile,27750,High school diploma or equivalent,7,None,Short-term on-the-job training
Therapists,50980,Bachelors degree,3,None,None
Tile and marble setters    ,41840,No formal educational credential,8,None,Long-term on-the-job training
Timing device assemblers and adjusters    ,34650,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Tire builders    ,46630,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Tire repairers and changers    ,27890,High school diploma or equivalent,7,None,Short-term on-the-job training
Title examiners,47130,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Tool and die makers    ,52750,Postsecondary nondegree award,5,None,Long-term on-the-job training
Tool grinders,38140,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Tour and travel guides,26570,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Traffic technicians    ,46570,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Training and development managers    ,111340,Bachelors degree,3,5 years or more,None
Training and development specialists    ,60870,Bachelors degree,3,Less than 5 years,None
Transit and railroad police    ,74030,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Transportation attendants,26760,High school diploma or equivalent,7,None,Short-term on-the-job training
Transportation inspectors    ,73780,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Transportation security screeners    ,41490,High school diploma or equivalent,7,None,Short-term on-the-job training
Transportation workers,37490,High school diploma or equivalent,7,None,Short-term on-the-job training
Transportation,94730,High school diploma or equivalent,7,5 years or more,None
Travel agents    ,38700,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Tree trimmers and pruners    ,38190,High school diploma or equivalent,7,None,Short-term on-the-job training
Umpires,27020,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Upholsterers    ,34480,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Urban and regional planners    ,73050,Masters degree,2,None,None
Ushers,22260,No formal educational credential,8,None,Short-term on-the-job training
Veterinarians    ,93830,Doctoral or professional degree,1,None,None
Veterinary assistants and laboratory animal caretakers    ,27540,High school diploma or equivalent,7,None,Short-term on-the-job training
Veterinary technologists and technicians    ,34420,Associates degree,4,None,None
Vocational education teachers,53120,Bachelors degree,3,Less than 5 years,None
Waiters and waitresses    ,21780,No formal educational credential,8,None,Short-term on-the-job training
Watch repairers    ,39910,High school diploma or equivalent,7,None,Long-term on-the-job training
Water and wastewater treatment plant and system operators    ,46780,High school diploma or equivalent,7,None,Long-term on-the-job training
Web developers    ,69430,Associates degree,4,None,None
Weighers,32310,High school diploma or equivalent,7,None,Short-term on-the-job training
Welders,41380,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Welding,37670,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Wellhead pumpers    ,53490,High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Wind turbine service technicians    ,54370,Postsecondary nondegree award,5,None,Long-term on-the-job training
Woodworkers,31170,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Woodworking machine setters,29730,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Word processors and typists    ,39750,High school diploma or equivalent,7,None,Short-term on-the-job training
Writers and authors    ,62170,Bachelors degree,3,None,Long-term on-the-job training
Zoologists and wildlife biologists    ,63420,Bachelors degree,3,None,None
