state,2004_05,2005_06,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,2017_18,2018_19,2019_20,1_year percent_change,5_year_percen_change
Alabama,2728.0,2730.0,2786.0,2809.0,2835.0,2839.0,3417.0,4010.0,4088.0,4151.0,4257.0,4314.0,4395.0,4480.0,4760.0,4871.0,2.0,14.0
Alaska,,,,,,,,,,,,,,,,,,
Arizona,1393.0,1522.0,1660.0,1686.0,1821.0,1918.0,1979.0,2151.0,2204.0,2334.0,2430.0,2475.0,2559.0,2600.0,2582.0,2606.0,1.0,7.0
Arkansas,1874.0,1980.0,2095.0,2138.0,2296.0,2378.0,2525.0,2663.0,2794.0,3006.0,3177.0,3403.0,3533.0,3610.0,3670.0,3761.0,2.0,18.0
California,808.0,810.0,724.0,633.0,634.0,817.0,819.0,1119.0,1419.0,1425.0,1428.0,1422.0,1426.0,1420.0,1428.0,1428.0,0.0,0.0
Colorado,2218.0,2388.0,2376.0,2459.0,2550.0,2768.0,3122.0,3394.0,3577.0,3745.0,3900.0,4077.0,4265.0,4320.0,4510.0,4525.0,0.0,16.0
Connecticut,2406.0,2536.0,2672.0,2828.0,2984.0,3200.0,3408.0,3490.0,3598.0,3786.0,3866.0,4048.0,4187.0,4310.0,4405.0,4505.0,2.0,17.0
Delaware,2509.0,2679.0,2858.0,2996.0,3255.0,3418.0,3574.0,3817.0,3851.0,4050.0,4294.0,4414.0,4533.0,4720.0,4855.0,4925.0,1.0,15.0
District of Columbia,,,,,,,,,,,,,,,,,,
Florida,1780.0,1919.0,2031.0,2031.0,2292.0,2553.0,2773.0,2985.0,3091.0,3141.0,3176.0,3234.0,3234.0,3240.0,3246.0,3249.0,0.0,2.0
Georgia,2075.0,2208.0,2236.0,2120.0,2104.0,2596.0,2800.0,3125.0,3315.0,3427.0,3599.0,3678.0,3770.0,3790.0,3802.0,4042.0,6.0,12.0
Hawaii,1458.0,1525.0,1732.0,1946.0,2192.0,2443.0,2710.0,2965.0,3097.0,3252.0,3492.0,3664.0,3844.0,3850.0,3920.0,4018.0,2.0,15.0
Idaho,1798.0,1876.0,1979.0,2092.0,2232.0,2418.0,2554.0,2791.0,3114.0,3697.0,3749.0,3872.0,4016.0,4100.0,4192.0,4192.0,0.0,12.0
Illinois,1990.0,2147.0,2301.0,2440.0,2597.0,2729.0,3010.0,3152.0,3249.0,3393.0,3544.0,3748.0,3896.0,4060.0,4138.0,4198.0,1.0,18.0
Indiana,2584.0,2728.0,2882.0,3003.0,3137.0,3279.0,3441.0,3538.0,3660.0,3809.0,4178.0,4324.0,4458.0,4580.0,4700.0,4840.0,3.0,16.0
Iowa,2920.0,3090.0,3202.0,3331.0,3512.0,3701.0,3912.0,4111.0,4251.0,4387.0,4523.0,4736.0,4913.0,5070.0,5324.0,5459.0,3.0,21.0
Kansas,1767.0,1848.0,1887.0,1928.0,1984.0,2121.0,2281.0,2362.0,2517.0,2544.0,2679.0,2779.0,2947.0,3030.0,3143.0,3194.0,2.0,19.0
Kentucky,2770.0,3008.0,3270.0,3450.0,3684.0,3759.0,3900.0,4051.0,4201.0,4322.0,4461.0,4653.0,4910.0,5100.0,5316.0,5460.0,3.0,22.0
Louisiana,1738.0,1841.0,1875.0,1915.0,1947.0,2049.0,2212.0,2701.0,3001.0,3381.0,3625.0,3970.0,4055.0,4140.0,4191.0,4189.0,0.0,16.0
Maine,2595.0,2812.0,2926.0,3120.0,3156.0,3236.0,3260.0,3329.0,3333.0,3398.0,3490.0,3491.0,3536.0,3620.0,3762.0,3767.0,0.0,8.0
Maryland,2978.0,3093.0,3122.0,3252.0,3329.0,3394.0,3567.0,3708.0,3886.0,3992.0,4135.0,4274.0,4417.0,4530.0,4681.0,4782.0,2.0,16.0
Massachusetts,3361.0,3498.0,3579.0,3694.0,3925.0,4291.0,4594.0,4817.0,5114.0,5142.0,5309.0,5697.0,5831.0,6040.0,6271.0,6580.0,5.0,24.0
Michigan,1995.0,2126.0,2231.0,2329.0,2455.0,2527.0,2694.0,2861.0,3042.0,3225.0,3378.0,3476.0,3587.0,3770.0,3861.0,3991.0,3.0,18.0
Minnesota,3795.0,4013.0,4264.0,4446.0,4562.0,4739.0,4939.0,5161.0,5369.0,5373.0,5382.0,5391.0,5375.0,5450.0,5446.0,5605.0,3.0,4.0
Mississippi,1546.0,1668.0,1693.0,1709.0,1770.0,1855.0,2119.0,2205.0,2265.0,2393.0,2529.0,2585.0,2770.0,3090.0,3191.0,3332.0,4.0,32.0
Missouri,2152.0,2279.0,2391.0,2505.0,2586.0,2580.0,2580.0,2736.0,2888.0,2986.0,3078.0,3194.0,3264.0,3460.0,3582.0,3780.0,6.0,23.0
Montana,2366.0,2470.0,2572.0,2770.0,2904.0,2978.0,3029.0,3054.0,3094.0,3170.0,3174.0,3250.0,3319.0,3640.0,3713.0,3796.0,2.0,20.0
Nebraska,1763.0,1866.0,2013.0,2155.0,2240.0,2294.0,2412.0,2491.0,2601.0,2676.0,2764.0,2894.0,2993.0,3090.0,3179.0,3271.0,3.0,18.0
Nevada,1590.0,1643.0,1695.0,1763.0,1921.0,2022.0,2243.0,2513.0,2700.0,2700.0,2700.0,2805.0,2910.0,3220.0,3403.0,3543.0,4.0,31.0
New Hampshire,4680.0,5184.0,5234.0,5609.0,5607.0,5892.0,6271.0,6724.0,6736.0,6735.0,6512.0,6512.0,6533.0,6840.0,7095.0,7095.0,0.0,9.0
New Jersey,2802.0,2947.0,3188.0,3387.0,3550.0,3794.0,3922.0,4111.0,4160.0,4266.0,4441.0,4600.0,4721.0,4870.0,5036.0,5218.0,4.0,18.0
New Mexico,1040.0,1118.0,1102.0,1143.0,1146.0,1208.0,1325.0,1499.0,1593.0,1615.0,1654.0,1656.0,1715.0,1760.0,1842.0,1859.0,1.0,12.0
New York,3272.0,3383.0,3460.0,3547.0,3653.0,3871.0,3961.0,4253.0,4453.0,4619.0,4851.0,5103.0,5193.0,5350.0,5495.0,5634.0,3.0,16.0
North Carolina,1195.0,1245.0,1257.0,1341.0,1350.0,1600.0,1776.0,2070.0,2162.0,2253.0,2300.0,2327.0,2429.0,2440.0,2456.0,2449.0,0.0,6.0
North Dakota,3000.0,3240.0,3304.0,3455.0,3837.0,3878.0,3880.0,3926.0,3969.0,4105.0,4192.0,4406.0,4430.0,4600.0,4818.0,4989.0,4.0,19.0
Ohio,3201.0,3381.0,3435.0,3515.0,3516.0,3495.0,3732.0,3953.0,4208.0,4374.0,4531.0,4534.0,4321.0,4390.0,4703.0,4873.0,4.0,8.0
Oklahoma,2106.0,2237.0,2306.0,2486.0,2693.0,2704.0,2832.0,3024.0,3163.0,3288.0,3497.0,3647.0,3959.0,4150.0,4384.0,4494.0,3.0,29.0
Oregon,2863.0,2966.0,3161.0,3222.0,3336.0,3611.0,3745.0,4021.0,4222.0,4429.0,4559.0,4657.0,4785.0,5050.0,5325.0,5624.0,6.0,23.0
Pennsylvania,2868.0,3052.0,3110.0,3234.0,3345.0,3448.0,3470.0,3927.0,4200.0,4450.0,4698.0,4927.0,5226.0,5330.0,5482.0,5658.0,3.0,20.0
Puerto Rico,,,,,,,,,,,,,,,,,,
Rhode Island,2310.0,2470.0,2686.0,2846.0,3090.0,3376.0,3652.0,3676.0,3950.0,3950.0,3950.0,4266.0,4266.0,4560.0,4564.0,4700.0,3.0,19.0
South Carolina,2828.0,2941.0,3125.0,3235.0,3346.0,3481.0,3646.0,3717.0,4248.0,4491.0,4642.0,4772.0,4984.0,5420.0,5625.0,5854.0,4.0,26.0
South Dakota,3035.0,3196.0,3449.0,3596.0,3939.0,4314.0,4585.0,4943.0,5468.0,5541.0,5705.0,6138.0,6292.0,6560.0,6681.0,6989.0,5.0,23.0
Tennessee,2197.0,2390.0,2490.0,2632.0,2777.0,2971.0,3196.0,3552.0,3659.0,3763.0,3947.0,4159.0,4262.0,4320.0,4575.0,4646.0,2.0,18.0
Texas,1382.0,1469.0,1610.0,1649.0,1662.0,1746.0,1858.0,2040.0,2146.0,2204.0,2290.0,2324.0,2437.0,2560.0,2617.0,2754.0,5.0,20.0
Utah,2017.0,2155.0,2324.0,2444.0,2555.0,2710.0,2867.0,3017.0,3149.0,3312.0,3466.0,3565.0,3661.0,3750.0,3813.0,3901.0,2.0,13.0
Vermont,4720.0,4990.0,5230.0,5500.0,5830.0,6070.0,6250.0,6520.0,6790.0,7090.0,7320.0,7530.0,7740.0,7980.0,8115.0,8205.0,1.0,12.0
Virginia,2081.0,2191.0,2372.0,2561.0,2860.0,3087.0,3585.0,3983.0,4192.0,4330.0,4560.0,4802.0,4973.0,5130.0,5254.0,5255.0,0.0,15.0
Washington,2482.0,2633.0,2738.0,2879.0,2962.0,3153.0,3360.0,3814.0,4243.0,4306.0,4295.0,4172.0,4204.0,4310.0,4483.0,4611.0,3.0,7.0
West Virginia,2081.0,2102.0,2207.0,2345.0,2479.0,2632.0,2524.0,2707.0,2923.0,3278.0,3731.0,3829.0,4003.0,4180.0,4299.0,4384.0,2.0,17.0
Wisconsin,2906.0,3132.0,3145.0,3270.0,3422.0,3507.0,3623.0,3829.0,4030.0,4179.0,4312.0,4466.0,4334.0,4460.0,4550.0,4619.0,2.0,7.0
Wyoming,1686.0,1770.0,1830.0,1922.0,2018.0,2164.0,2223.0,2327.0,2440.0,2605.0,2706.0,2781.0,2999.0,3200.0,3246.0,4173.0,29.0,54.0
